,City,Cloudiness,Country,Latitude,Longitude,Humidity,Max Temp,Wind Speed
0,majene,100.0,ID,-3.5403,118.9707,91.0,24.59,3.39
1,brae,100.0,GB,60.3964,-1.353,85.0,11.95,5.66
2,esperance,100.0,AU,-33.8667,121.9,68.0,13.42,4.93
3,yellowknife,60.0,CA,62.456,-114.3525,93.0,16.85,3.58
4,thompson,18.0,CA,55.7435,-97.8558,97.0,15.94,2.15
5,berlevag,75.0,NO,70.8578,29.0864,76.0,6.97,10.8
6,codrington,100.0,AG,-38.2667,141.9667,62.0,9.04,5.94
7,new norfolk,99.0,AU,-42.7826,147.0587,67.0,11.51,1.52
8,puerto ayora,100.0,EC,-0.7393,-90.3518,94.0,21.97,1.79
9,mataura,27.0,PF,-46.1927,168.8643,97.0,6.38,1.25
10,nanzhou,100.0,CN,29.3596,112.4024,63.0,32.94,1.78
11,castro,0.0,CL,-24.7911,-50.0119,63.0,7.35,1.36
12,barrow,90.0,US,71.2906,-156.7887,93.0,2.01,7.2
14,aklavik,63.0,CA,68.2191,-135.0107,75.0,11.48,5.91
15,saint-leu,12.0,RE,-21.15,55.2833,66.0,24.48,2.85
17,cape town,86.0,ZA,-33.9258,18.4232,80.0,10.62,1.34
18,dikson,100.0,RU,73.5069,80.5464,79.0,10.31,8.74
19,khatanga,88.0,RU,71.9667,102.5,80.0,13.55,0.47
20,vaini,20.0,TO,-21.2,-175.2,88.0,23.09,2.57
21,rikitea,0.0,PF,-23.1203,-134.9692,71.0,22.3,6.92
22,kruisfontein,100.0,ZA,-34.0033,24.7314,69.0,6.05,10.82
23,miri,100.0,MY,4.4148,114.0089,71.0,29.7,3.84
24,sechura,7.0,PE,-5.5569,-80.8222,83.0,18.06,4.23
25,emerald,0.0,AU,-23.5333,148.1667,27.0,16.86,4.18
26,hobart,75.0,AU,-42.8794,147.3294,69.0,11.7,2.06
27,butaritari,13.0,KI,3.0707,172.7902,75.0,28.66,5.34
28,tuktoyaktuk,93.0,CA,69.4541,-133.0374,96.0,5.38,6.36
29,terney,81.0,RU,45.0503,136.6092,82.0,25.17,2.08
30,punta arenas,75.0,CL,-53.15,-70.9167,93.0,3.06,3.09
31,wajima,7.0,JP,37.4,136.9,77.0,27.56,5.06
32,tigil,100.0,RU,57.8,158.6667,71.0,17.89,3.28
33,busselton,99.0,AU,-33.65,115.3333,70.0,13.91,4.5
34,mount isa,18.0,AU,-20.7333,139.5,19.0,26.87,4.12
35,ahipara,100.0,NZ,-35.1667,173.1667,88.0,12.26,2.05
36,byron bay,32.0,AU,-28.65,153.6167,78.0,16.04,1.45
37,ojinaga,1.0,MX,29.5667,-104.4167,44.0,27.45,4.12
38,bredasdorp,96.0,ZA,-34.5322,20.0403,80.0,7.38,3.14
40,kaitangata,10.0,NZ,-46.2817,169.8464,68.0,7.74,2.36
41,albany,2.0,AU,42.6001,-73.9662,95.0,14.93,1.93
42,tasiilaq,100.0,GL,65.6145,-37.6368,98.0,7.09,5.48
43,ushuaia,100.0,AR,-54.8,-68.3,98.0,2.23,2.77
44,bluff,4.0,NZ,-46.6,168.3333,69.0,6.56,4.65
45,hearst,100.0,CA,49.6835,-83.6665,60.0,14.4,3.11
46,sisimiut,100.0,GL,66.9395,-53.6735,85.0,5.94,1.68
47,hermanus,97.0,ZA,-34.4187,19.2345,68.0,8.83,4.67
48,kapaa,90.0,US,22.0752,-159.319,80.0,26.18,0.89
49,yafran,0.0,LY,32.0633,12.5286,43.0,24.72,2.02
50,rincon de la victoria,0.0,ES,36.7172,-4.2758,58.0,29.82,1.55
51,halle,0.0,DE,51.5,12.0,66.0,21.76,1.54
52,sitka,90.0,US,57.0531,-135.33,82.0,12.94,1.54
53,upernavik,100.0,GL,72.7868,-56.1549,93.0,5.03,4.27
54,kodiak,100.0,US,57.79,-152.4072,95.0,11.75,3.72
55,broken hill,92.0,AU,-31.95,141.4333,71.0,6.23,9.23
56,katsuura,10.0,JP,35.1333,140.3,74.0,32.06,3.68
