,City,Cloudiness,Country,Latitude,Longitude,Humidity,Max Temp,Wind Speed
0,hobart,75,AU,-42.8794,147.3294,52,14.03,0.89
1,rikitea,1,PF,-23.1203,-134.9692,67,22.51,6.8
2,husavik,0,IS,66.0449,-17.3389,84,11.98,1.67
3,sikasso,55,ML,10.9167,-7,89,23.15,2.5
4,mataura,45,PF,-46.1927,168.8643,90,8.6,1.29
5,faanui,14,PF,-16.4833,-151.75,77,26.08,7.34
6,san quintin,59,MX,30.4833,-115.95,85,20.99,3.58
7,paamiut,18,GL,61.994,-49.6678,85,5.48,1.4
8,jamestown,20,SH,42.097,-79.2353,93,14.84,0.79
9,ponta do sol,0,CV,32.6667,-17.1,82,20.4,2.06
10,east london,47,ZA,-33.0153,27.9116,62,9.76,11.2
11,ilulissat,40,GL,69.2167,-51.1,81,7.01,0
12,albany,1,AU,42.6001,-73.9662,94,16.26,1.88
13,atuona,47,PF,-9.8,-139.0333,68,25.32,6.81
14,sur,67,OM,22.5667,59.5289,45,36.63,2.29
15,puerto ayora,99,EC,-0.7393,-90.3518,97,21.42,1.79
16,tateyama,40,JP,34.9833,139.8667,55,33.01,2.57
17,kijang,100,ID,35.2442,129.2139,77,27.89,7.03
18,punta arenas,75,CL,-53.15,-70.9167,100,2.06,2.06
19,lebu,100,CL,-37.6167,-73.65,91,10.06,1.76
20,kathu,91,TH,7.9178,98.3332,76,30.94,5.35
21,kapaa,75,US,22.0752,-159.319,79,27.18,2.24
22,inhambane,0,MZ,-23.865,35.3833,71,18.13,3.38
23,saint-philippe,47,RE,-21.3585,55.7679,73,21.79,5.94
24,cape town,68,ZA,-33.9258,18.4232,91,7.71,0.45
25,nikolskoye,67,RU,59.7035,30.7861,57,16.55,4.17
26,meulaboh,93,ID,4.1363,96.1285,62,29.79,1.01
27,qaanaaq,100,GL,77.484,-69.3632,92,4.35,4.67
28,san jeronimo,27,MX,-11.9472,-75.2829,82,5.98,1.22
29,new norfolk,99,AU,-42.7826,147.0587,56,13.84,0.89
30,turukhansk,100,RU,65.8167,87.9833,46,22.3,7.98
31,jalu,3,LY,29.0331,21.5482,58,26.11,4.1
32,vaini,20,TO,-21.2,-175.2,88,24.09,2.57
33,victoria,39,SC,22.2855,114.1577,71,32.92,1.79
34,sompeta,100,IN,18.9333,84.6,69,30.3,1.46
35,vila franca do campo,86,PT,37.7167,-25.4333,82,19.23,2.91
36,ribeira grande,42,PT,38.5167,-28.7,67,20.23,6.71
37,hithadhoo,100,MV,-0.6,73.0833,73,27.94,5.63
39,hirado,100,JP,33.3597,129.5531,74,27.67,6.34
40,yellowknife,43,CA,62.456,-114.3525,68,19.2,0.45
41,guerrero negro,54,MX,27.9769,-114.0611,84,20.95,5.09
42,longyearbyen,75,SJ,78.2186,15.6401,70,5.91,2.06
43,hilo,75,US,19.7297,-155.09,80,24.85,3.09
44,along,73,IN,28.1667,94.7667,55,33.48,1.23
45,derzhavinsk,51,KZ,51.1,66.3167,33,27.62,2.76
46,amazar,97,RU,53.858,120.875,80,22.55,0.55
47,ixtapa,100,MX,20.7,-105.2,94,26.42,0.81
48,rocha,100,UY,-34.4833,-54.3333,85,7.15,2.86
49,hermanus,44,ZA,-34.4187,19.2345,69,6.61,4.62
51,bathsheba,40,BB,13.2167,-59.5167,83,27.34,8.23
52,busselton,94,AU,-33.65,115.3333,66,13.38,3.92
53,cabedelo,26,BR,-6.9811,-34.8339,82,21.37,5.89
54,sal rei,35,CV,16.1833,-22.9167,89,24.31,4.17
56,yeppoon,0,AU,-23.1333,150.7333,53,19.88,3.2
57,ushuaia,0,AR,-54.8,-68.3,87,2.81,5.14
58,damietta,0,EG,31.4165,31.8133,73,26.34,3.07
59,cherskiy,86,RU,68.75,161.3,51,17.99,2
60,la ronge,20,CA,55.1001,-105.2842,65,18.32,3.08
61,quelimane,1,MZ,-17.8786,36.8883,87,20.25,1.06
